Component,Comment,Designator,Footprint,LCSC Part #
1,4.7uF,"C78,C84",C_0805_2012Metric,C1779
2,100nF@100V,"C13,C16,C62,C77,C79,C81,C82",C_0805_2012Metric,C28233
3,100nF@50V,"C7,C12",C_0603_1608Metric,C14663
4,1uF@50V,C80,C_0805_2012Metric,C28323
5,220uF@80V,"C1,C42,C47,C50",CP_Radial_D10.0mm_P5.00mm,C2937593
6,22pF/50V,C111,C_0603_1608Metric,C1653
7,4.7uF@50V,"C2,C3,C6,C38,C39,C40,C41,C43,C44,C45,C46,C55,C56,C58,C59",C_1206_3216Metric,C29823
8,470nF/25V,"C83,C85",C_0603_1608Metric,C1623
9,LED GREEN,"D5,D6,D29,D39",LED_0805_2012Metric,C2297
10,"PDZ3.3B,115",D23,D_SOD-323,C426855
11,SS54,D3,D_SMA,C22452
12,VS-2EFH02HM3/I,"D2,D26",D_SMF,C241868
13,Fuse,"F1,F2",Fuseholder5x20_horiz_open_inline_C3130,C3130
14,Conn_01x02,"J9,J17",AMASS_XT30U-M_1x02_P5.0mm_Vertical_mod,C99101
15,Conn_01x02,J19,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C2910525
16,Conn_01x02,"J57,J59,J61,J63",AMASS_XT30U-F_1x02_P5.0mm_Vertical_mod,C99102
17,Conn_01x05,J27,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,C157991
18,Conn_02x04_Odd_Even,J2,PinHeader_2x04_P2.54mm_Vertical,C5383105
19,Conn_02x05_Odd_Even,J4,PinHeader_2x05_P2.54mm_Vertical,C706895
20,Screw_Terminal_01x02,"J10,J56,J58,J60,J62","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",C557665
21,Screw_Terminal_01x03,J3,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",C557666
22,10uH,L4,L_Sunlord_MWSA1004S,C408487
23,BSC0702LS,"Q6,Q7,Q8,Q9",TDSON-8-1,C501503
24,0R,R66,R_0805_2012Metric,C17477
25,5m,"R30,R67",R_2512_6332Metric,C185817
26,10R,"R1,R3,R68,R69",R_0603_1608Metric,C22859
27,10k,"R5,R6,R34,R35,R75,R76",R_0402_1005Metric,C25744
28,10k,R89,R_0603_1608Metric,C25804
29,47kR,R2,R_0603_1608Metric,C25819
30,100k,R21,R_0402_1005Metric,C25741
31,133k,R74,R_0603_1608Metric,C227577
32,12.1k 1%,"R81,R93",R_0603_1608Metric,C22864
33,13k 0.1%,R55,R_0402_1005Metric,C852524
34,15k 0.1%,R86,R_0603_1608Metric,C2692707
35,16.2k 1%,"R23,R36",R_0603_1608Metric,C22885
36,200k 0.1%,R54,R_0402_1005Metric,C728556
37,20k 0.1%,R87,R_0603_1608Metric,C4184
38,220kR 0.1%,R80,R_0603_1608Metric,C278545
39,249kR 0.1%,R33,R_0603_1608Metric,C705752
40,25k 0.1%,R4,R_0603_1608Metric,C2828637
41,30k/1%,R73,R_0603_1608Metric,C22984
42,5k1/1%,R72,R_0603_1608Metric,C23186
43,BQ25756RRVR,U27,BQ25756RRVR,C19272232
44,Fuse 2A,"U74,U75",Dummy,C356459
45,Fuse Holder,"U14,U15,U16,U17",Dummy,C3130
46,Jumper Black,"U2,U3",SNT-100-BK-H,C100114
47,Jumper Blue,U73,SNT-100-BL-H,C20417886
48,Jumper Red,U72,SNT-100-RD-G,C20417889
49,ME6203A50M3G,U1,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,
